"VRSK";"Verisk Analytics Inc";22479
"KO";"Coca-Cola Co";22215
"HRL";"Hormel Foods Corp";22213
"HES";"Hess Corp";22176
"HIG";"The Hartford Financial Services Group Inc";22108
"PXD";"Pioneer Natural Resources Co";22092
"VTR";"Ventas Inc";22073
"AME";"AMETEK Inc";22027
"WY";"Weyerhaeuser Co";21989
"MTB";"M&T Bank Corp";21946
"VRSN";"VeriSign Inc";21773
"FOXA";"Fox Corp";21699
"IDXX";"IDEXX Laboratories Inc";21641
"K";"Kellogg Co";21639
"FITB";"Fifth Third Bancorp";21629
"BXP";"Boston Properties Inc";21395
"MKC";"McCormick & Co Inc";21295
"KR";"The Kroger Co";21291
"FOX";"Fox Corp";21227
"BLL";"Ball Corp";21129
"FAST";"Fastenal Co";21111
"ROK";"Rockwell Automation Inc";21094
"AWK";"American Water Works Co Inc";20948
"CERN";"Cerner Corp";20802
"ESS";"Essex Property Trust Inc";20755
"AMP";"Ameriprise Financial Inc";20737
"MSCI";"MSCI Inc";20704
"RMD";"ResMed Inc";20662
"SNPS";"Synopsys Inc";20651
"CMG";"Chipotle Mexican Grill Inc";20617
"ALGN";"Align Technology Inc";20383
"BBY";"Best Buy Co Inc";20105
"CTVA";"Corteva Inc";19959
"KEYS";"Keysight Technologies Inc";19789
"ANSS";"Ansys Inc";19424
"DHI";"D.R. Horton Inc";19371
"CDW";"CDW Corp";19235
"CPRT";"Copart Inc";19234
"CDNS";"Cadence Design Systems Inc";18917
"AEE";"Ameren Corp";18775
"LEN";"Lennar Corp";18688
"HAL";"Halliburton Co";18583
"CBRE";"CBRE Group Inc";18438
"CLX";"Clorox Co";18422
"GRMN";"Garmin Ltd";18398
"INCY";"Incyte Corp";18222
"VMC";"Vulcan Materials Co";18061
"IP";"International Paper Co";18053
"ARE";"Alexandria Real Estate Equities Inc";17856
"CINF";"Cincinnati Financial Corp";17814
"DISH";"DISH Network Corp";17774
"GWW";"W.W. Grainger Inc";17599
"ABC";"AmerisourceBergen Corp";17491
"OMC";"Omnicom Group Inc";17259
"MTD";"Mettler-Toledo International Inc";17229
"SWKS";"Skyworks Solutions Inc";17208
"AJG";"Arthur J. Gallagher & Co";17027
"CMS";"CMS Energy Corp";16919
"NUE";"Nucor Corp";16798
"NDAQ";"Nasdaq Inc";16761
"CFG";"Citizens Financial Group Inc";16654
"PEAK";"Healthpeak Properties Inc";16595
"CHD";"Church & Dwight Co Inc";16584
"CTL";"CenturyLink Inc";16527
"FTNT";"Fortinet Inc";16439
"EFX";"Equifax Inc";16334
"DISCA";"Discovery Inc";16221
"MGM";"MGM Resorts International";16211
"RF";"Regions Financial Corp";16157
"FCX";"Freeport-McMoRan Inc";16105
"LH";"Laboratory Corp of America Holdings";16071
"MXIM";"Maxim Integrated Products Inc";15971
"MLM";"Martin Marietta Materials Inc";15947
"DOV";"Dover Corp";15916
"AMCR";"Amcor PLC";15844
"CAH";"Cardinal Health Inc";15648
"WDC";"Western Digital Corp";15472
"KMX";"CarMax Inc";15438
"GPC";"Genuine Parts Co";15408
